year,race,education_buckets,sex,age,assets,debt,networth
2007,All,High school diploma,Male,35-44,230341.04,114182.99,92445.02
2007,All,High school diploma,Male,45-54,337858.21,117639.34,194765.32
2007,All,High school diploma,Male,55-64,387271.67,63572.15,252560.43
2007,All,High school diploma,Male,65-74,258609.04,28391.45,198653.72
2007,All,High school diploma,Male,<35,91222.95,52462.46,23330.36
2007,All,High school diploma,Male,>=75,300146.96,17281.75,294900.72
2007,All,High school diploma,Male,All,250276.77,79742.93,129711.88
2007,All,No high school diploma,All,35-44,29391.32,18787.73,12097.22
2007,All,No high school diploma,All,45-54,107023.41,33946.29,50475.05
2007,All,No high school diploma,All,55-64,113627.51,33329.09,49376.43
2007,All,No high school diploma,All,65-74,185470.21,22219.39,119244.07
2007,All,No high school diploma,All,<35,11850.34,13578.52,6653.47
2007,All,No high school diploma,All,>=75,168497.06,23700.69,151462.19
2007,All,No high school diploma,All,All,72830.23,23330.36,36538.56
2007,All,No high school diploma,Female,35-44,5554.85,13010.69,1172.69
2007,All,No high school diploma,Female,45-54,7900.23,9690.12,3110.71
2007,All,No high school diploma,Female,55-64,10369.05,8073.05,9196.36
2007,All,No high school diploma,Female,65-74,13726.65,9381.52,4197
2007,All,No high school diploma,Female,<35,3790.88,6789.26,0
2007,All,No high school diploma,Female,>=75,132699.15,6233.77,87186.43
2007,All,No high school diploma,Female,All,31107.15,10245.61,6048.61
2007,All,No high school diploma,Male,35-44,36118.86,28391.45,18331
2007,All,No high school diploma,Male,45-54,148500.84,53264.82,89247.89
2007,All,No high school diploma,Male,55-64,150536.39,40118.35,77644.43
2007,All,No high school diploma,Male,65-74,232192.65,25181.98,168188.46
2007,All,No high school diploma,Male,<35,16713.92,17281.75,9072.92
2007,All,No high school diploma,Male,>=75,217750.05,34563.5,207998.2
2007,All,No high school diploma,Male,All,107023.41,28391.45,49376.43
2007,All,Some college or Associate degree,All,35-44,252696.22,132081.95,94568.2
2007,All,Some college or Associate degree,All,45-54,295888.25,88877.57,175780.08
2007,All,Some college or Associate degree,All,55-64,373077.18,67892.59,293518.18
2007,All,Some college or Associate degree,All,65-74,493949.44,78199.92,434142.25
2007,All,Some college or Associate degree,All,<35,33205.65,32835.32,10751.72
2007,All,Some college or Associate degree,All,>=75,346992.85,61819.29,283050.38
2007,All,Some college or Associate degree,All,All,247005.58,74064.64,120120.51
2007,All,Some college or Associate degree,Female,35-44,71102.06,46660.72,17701.45
2007,All,Some college or Associate degree,Female,45-54,166151.68,57523.54,77051.92
2007,All,Some college or Associate degree,Female,55-64,187630.43,39007.38,132760.87
2007,All,Some college or Associate degree,Female,65-74,355510.28,14072.28,329957.98
2007,All,Some college or Associate degree,Female,<35,12739.12,20614.66,493.76
2007,All,Some college or Associate degree,Female,>=75,278976.82,30860.27,266632.71
2007,All,Some college or Associate degree,Female,All,93569.57,30860.27,36415.12
2007,All,Some college or Associate degree,Male,35-44,342215.68,146894.87,135908.62
2007,All,Some college or Associate degree,Male,45-54,366496.54,97518.45,228983.19
2007,All,Some college or Associate degree,Male,55-64,531043.49,77582.71,411675.97
2007,All,Some college or Associate degree,Male,65-74,579617.55,106159.32,527216.81
2007,All,Some college or Associate degree,Male,<35,57758.08,48142.02,22836.6
2007,All,Some college or Associate degree,Male,>=75,417230.82,63942.47,283173.82
2007,All,Some college or Associate degree,Male,All,317737.32,93568.33,174274.1
2007,Black,All,All,35-44,33822.85,39994.91,7060.83
2007,Black,All,All,45-54,203801.21,83693.05,98012.21
2007,Black,All,All,55-64,153313.81,30860.27,87544.41
2007,Black,All,All,65-74,219293.06,56252.1,108381.26
2007,Black,All,All,<35,13578.52,29378.97,5567.19
2007,Black,All,All,>=75,124675.48,2468.82,107517.17
2007,Black,All,All,All,87581.44,37526.09,25922.62
2007,Black,All,Female,35-44,7776.79,19997.45,740.65
2007,Black,All,Female,45-54,117269.02,33329.09,56165.69
2007,Black,All,Female,55-64,162078.13,38081.57,120638.96
2007,Black,All,Female,65-74,199357.33,91531.55,74064.64
2007,Black,All,Female,<35,8542.12,18516.16,2036.78
2007,Black,All,Female,>=75,109985.99,2468.82,107517.17
2007,Black,All,Female,All,49376.43,23330.36,6912.7
2007,Black,All,Male,35-44,98703.48,74669.5,21108.42
2007,Black,All,Male,45-54,247005.58,92580.8,138007.12
2007,Black,All,Male,55-64,131723.97,29872.74,69991.09
2007,Black,All,Male,65-74,273298.53,32218.12,134303.89
2007,Black,All,Male,<35,36662,63251.2,12998.34
2007,Black,All,Male,>=75,,,
2007,Black,All,Male,All,161090.6,63251.2,45228.81
2007,Black,Bachelor's degree or higher,All,35-44,201023.78,162448.45,42735.3
2007,Black,Bachelor's degree or higher,All,45-54,545609.53,156770.16,299344.6
2007,Black,Bachelor's degree or higher,All,55-64,415626.09,18516.16,211664.4
2007,Black,Bachelor's degree or higher,All,65-74,828042.7,403035.1,828042.7
2007,Black,Bachelor's degree or higher,All,<35,70978.62,80286.07,9319.8
2007,Black,Bachelor's degree or higher,All,>=75,,,
2007,Black,Bachelor's degree or higher,All,All,335463.45,128699.66,89865.1
2007,Black,Bachelor's degree or higher,Female,35-44,42463.73,110109.44,-23083.48
2007,Black,Bachelor's degree or higher,Female,45-54,382173.56,85914.99,299468.04
2007,Black,Bachelor's degree or higher,Female,55-64,415626.09,103690.5,224625.72
2007,Black,Bachelor's degree or higher,Female,65-74,,,
2007,Black,Bachelor's degree or higher,Female,<35,57646.98,53326.54,6715.19
2007,Black,Bachelor's degree or higher,Female,>=75,,,
2007,Black,Bachelor's degree or higher,Female,All,232279.06,103690.5,47401.37
2007,Black,Bachelor's degree or higher,Male,35-44,207505.67,162695.33,44810.34
2007,Black,Bachelor's degree or higher,Male,45-54,546103.3,236389.65,278359.61
2007,Black,Bachelor's degree or higher,Male,55-64,58757.95,17158.31,45302.87
2007,Black,Bachelor's degree or higher,Male,65-74,555855.14,403035.1,152820.05
2007,Black,Bachelor's degree or higher,Male,<35,90729.19,80286.07,13640.24
2007,Black,Bachelor's degree or higher,Male,All,370471.34,138649.01,131464.74
2007,Black,High school diploma,All,35-44,51499.61,35797.91,8714.94
2007,Black,High school diploma,All,45-54,58881.39,65176.89,32465
2007,Black,High school diploma,All,55-64,174916,9011.2,134007.63
2007,Black,High school diploma,All,65-74,78508.52,32218.12,20367.78
2007,Black,High school diploma,All,<35,9381.52,7406.46,6912.7
2007,Black,High school diploma,All,>=75,124675.48,1172.69,123502.79
2007,Black,High school diploma,All,All,51845.25,21096.08,17578.01
2007,Black,High school diploma,Female,35-44,740.65,11603.46,123.44
2007,Black,High school diploma,Female,45-54,20367.78,7776.79,6455.97
2007,Black,High school diploma,Female,55-64,261571.63,2876.18,258695.45
2007,Black,High school diploma,Female,65-74,203060.56,63164.8,73817.76
2007,Black,High school diploma,Female,<35,7159.58,2221.94,5567.19
2007,Black,High school diploma,Female,>=75,124675.48,1172.69,123502.79
2007,Black,High school diploma,Female,All,17158.31,4567.32,6912.7
2007,Black,High school diploma,Male,35-44,126650.54,104110.2,42834.05
2007,Black,High school diploma,Male,45-54,194296.25,107393.73,62954.95
2007,Black,High school diploma,Male,55-64,174916,32094.68,129724.22
2007,Black,High school diploma,Male,65-74,52462.46,,20244.34
2007,Black,High school diploma,Male,<35,19207.43,7406.46,12874.9
2007,Black,High school diploma,Male,All,97012.34,35797.91,37032.32
2007,Black,No high school diploma,All,35-44,13948.84,24688.21,1975.06
2007,Black,No high school diploma,All,45-54,271.57,13331.64,0
2007,Black,No high school diploma,All,55-64,53264.82,40241.79,24200.62
2007,Black,No high school diploma,All,65-74,185470.21,25181.98,51906.97
2007,Black,No high school diploma,All,<35,2468.82,6789.26,61.72
2007,Black,No high school diploma,All,>=75,51228.04,,3283.53
2007,Black,No high school diploma,All,All,14812.93,24688.21,2468.82
2007,Black,No high school diploma,Female,35-44,5554.85,14245.1,1975.06
2007,Black,No high school diploma,Female,45-54,,,260.46
2007,Black,No high school diploma,Female,55-64,555.48,9369.18,308.6
2007,Black,No high school diploma,Female,65-74,,,5184.52
2007,Black,No high school diploma,Female,<35,2468.82,6789.26,0
2007,Black,No high school diploma,Female,>=75,51228.04,,51228.04
2007,Black,No high school diploma,Female,All,4259.95,13331.64,260.46
2007,Black,No high school diploma,Male,35-44,68880.12,82137.69,2715.7
2007,Black,No high school diploma,Male,45-54,,,-1209.72
2007,Black,No high school diploma,Male,55-64,53388.26,44438.79,42155.13
2007,Black,No high school diploma,Male,65-74,190407.85,25181.98,168065.02
2007,Black,No high school diploma,Male,<35,2221.94,6172.05,2098.5
2007,Black,No high school diploma,Male,>=75,,,
2007,Black,No high school diploma,Male,All,62226.64,40118.35,20367.78
2007,Black,Some college or Associate degree,All,35-44,27774.24,17652.07,6148.6
2007,Black,Some college or Associate degree,All,45-54,176644.17,14812.93,126539.44
2007,Black,Some college or Associate degree,All,55-64,193061.83,37526.09,140969.7
2007,Black,Some college or Associate degree,All,65-74,570297.75,109862.55,565125.57
2007,Black,Some college or Associate degree,All,<35,33329.09,35797.91,5048.74
2007,Black,Some college or Associate degree,All,>=75,,,
2007,Black,Some college or Associate degree,All,All,137266.47,30983.71,46080.55
2007,Black,Some college or Associate degree,Female,35-44,7776.79,13887.12,1857.79
2007,Black,Some college or Associate degree,Female,45-54,117392.46,57523.54,109985.99
2007,Black,Some college or Associate degree,Female,55-64,193061.83,39315.98,140969.7
2007,Black,Some college or Associate degree,Female,65-74,,,
2007,Black,Some college or Associate degree,Female,<35,7283.02,27033.59,802.37
2007,Black,Some college or Associate degree,Female,All,84520.1,27033.59,23700.69
2007,Black,Some college or Associate degree,Male,35-44,34933.82,18516.16,17911.3
2007,Black,Some college or Associate degree,Male,45-54,191703.98,14812.93,158128.01
2007,Black,Some college or Associate degree,Male,55-64,63942.47,26317.64,37637.18
2007,Black,Some college or Associate degree,Male,65-74,410071.24,106159.32,306380.74
2007,Black,Some college or Associate degree,Male,<35,223181.46,94555.86,78668.99
2007,Black,Some college or Associate degree,Male,>=75,,,
2007,Black,Some college or Associate degree,Male,All,196024.42,59251.71,134427.33
2007,Hispanic,All,All,35-44,163559.42,97518.45,51721.81
2007,Hispanic,All,All,45-54,236019.33,93074.57,117145.58
2007,Hispanic,All,All,55-64,155043.22,87359.25,105418.67
2007,Hispanic,All,All,65-74,222193.93,21602.19,88877.57
2007,Hispanic,All,All,<35,21478.75,32798.29,9579.03
2007,Hispanic,All,All,>=75,55548.48,41525.58,38266.73
2007,Hispanic,All,All,All,87174.08,65917.53,26046.07
2007,Hispanic,All,Female,35-44,26046.07,120848.81,5110.46
2007,Hispanic,All,Female,45-54,33947.53,22219.39,33799.4
2007,Hispanic,All,Female,55-64,8307.58,1049.25,8060.7
2007,Hispanic,All,Female,65-74,2468.82,,2468.82
2007,Hispanic,All,Female,<35,6048.61,31057.77,0
2007,Hispanic,All,Female,>=75,38266.73,,38266.73
2007,Hispanic,All,Female,All,10369.05,22219.39,4073.56
2007,Hispanic,All,Male,35-44,206899.58,96407.48,73669.63
2007,Hispanic,All,Male,45-54,288605.22,131563.49,139994.52
2007,Hispanic,All,Male,55-64,205529.38,95111.35,143364.46
2007,Hispanic,All,Male,65-74,227131.57,97518.45,119244.07
2007,Hispanic,All,Male,<35,23330.36,41969.96,12097.22
2007,Hispanic,All,Male,>=75,,,
2007,Hispanic,All,Male,All,132452.27,87359.25,39846.78
2007,Hispanic,Bachelor's degree or higher,All,35-44,1101625.15,120848.81,572519.69
2007,Hispanic,Bachelor's degree or higher,All,45-54,1032090.79,181458.37,708922.07
2007,Hispanic,Bachelor's degree or higher,All,55-64,255769.9,64497.96,192506.35
2007,Hispanic,Bachelor's degree or higher,All,65-74,7776.79,2592.26,5184.52
2007,Hispanic,Bachelor's degree or higher,All,<35,156646.72,167386.09,-493.76
2007,Hispanic,Bachelor's degree or higher,All,All,258238.72,75052.17,123873.11
2007,Hispanic,Bachelor's degree or higher,Female,35-44,,,
2007,Hispanic,Bachelor's degree or higher,Female,<35,,,
2007,Hispanic,Bachelor's degree or higher,Female,All,7727.41,32798.29,-25070.88
2007,Hispanic,Bachelor's degree or higher,Male,35-44,1113191.58,234538.03,585357.56
2007,Hispanic,Bachelor's degree or higher,Male,45-54,1032090.79,181458.37,708922.07
2007,Hispanic,Bachelor's degree or higher,Male,55-64,255769.9,64497.96,192506.35
2007,Hispanic,Bachelor's degree or higher,Male,65-74,7776.79,2592.26,5184.52
2007,Hispanic,Bachelor's degree or higher,Male,<35,244660.2,173064.38,72459.91
2007,Hispanic,Bachelor's degree or higher,Male,All,296690.61,171829.97,187321.83
2007,Hispanic,High school diploma,All,35-44,381926.67,125539.57,153190.37
2007,Hispanic,High school diploma,All,45-54,175039.44,46907.61,151585.63
2007,Hispanic,High school diploma,All,55-64,456238.2,232069.21,224168.98
2007,Hispanic,High school diploma,All,65-74,,,
2007,Hispanic,High school diploma,All,<35,24441.33,41969.96,15800.46
2007,Hispanic,High school diploma,All,All,109245.35,82890.68,33799.4
2007,Hispanic,High school diploma,Female,35-44,382050.11,125539.57,131995.54
2007,Hispanic,High school diploma,Female,45-54,33947.53,20861.54,33799.4
2007,Hispanic,High school diploma,Female,65-74,,,
2007,Hispanic,High school diploma,Female,<35,6048.61,,6048.61
2007,Hispanic,High school diploma,Female,All,33824.09,20861.54,24354.92
2007,Hispanic,High school diploma,Male,35-44,323909.37,145660.46,189728.93
2007,Hispanic,High school diploma,Male,45-54,320082.7,66658.18,217170.49
2007,Hispanic,High school diploma,Male,55-64,456238.2,232069.21,224168.98
2007,Hispanic,High school diploma,Male,<35,28761.77,41969.96,17281.75
2007,Hispanic,High school diploma,Male,All,139241.53,85421.22,34069.74
2007,Hispanic,No high school diploma,All,35-44,28391.45,24688.21,16491.73
2007,Hispanic,No high school diploma,All,45-54,222934.57,138254,115911.17
2007,Hispanic,No high school diploma,All,55-64,10369.05,36662,9196.36
2007,Hispanic,No high school diploma,All,65-74,119490.96,14812.93,86902.51
2007,Hispanic,No high school diploma,All,<35,12405.83,17281.75,9258.08
2007,Hispanic,No high school diploma,All,>=75,38513.61,,33575.97
2007,Hispanic,No high school diploma,All,All,30119.62,35427.59,14022.91
2007,Hispanic,No high school diploma,Female,35-44,,,4062.45
2007,Hispanic,No high school diploma,Female,45-54,104924.91,,48820.94
2007,Hispanic,No high school diploma,Female,55-64,6381.9,,6135.02
2007,Hispanic,No high school diploma,Female,65-74,6543.61,,2468.82
2007,Hispanic,No high school diploma,Female,<35,57400.1,24688.21,0
2007,Hispanic,No high school diploma,Female,>=75,38266.73,,38266.73
2007,Hispanic,No high school diploma,Female,All,6543.61,3703.23,4062.45
2007,Hispanic,No high school diploma,Male,35-44,30119.62,24688.21,19009.92
2007,Hispanic,No high school diploma,Male,45-54,267003.04,145870.31,117145.58
2007,Hispanic,No high school diploma,Male,55-64,154918.54,60609.57,25934.97
2007,Hispanic,No high school diploma,Male,65-74,222193.93,97518.45,119367.52
2007,Hispanic,No high school diploma,Male,<35,12405.83,17281.75,9443.24
2007,Hispanic,No high school diploma,Male,>=75,,,
2007,Hispanic,No high school diploma,Male,All,34083.31,93691.77,19009.92
2007,Hispanic,Some college or Associate degree,All,35-44,203184,97518.45,52598.24
2007,Hispanic,Some college or Associate degree,All,45-54,222996.29,67139.6,66423.64
2007,Hispanic,Some college or Associate degree,All,55-64,393653.57,132513.99,261139.59
2007,Hispanic,Some college or Associate degree,All,65-74,,,
2007,Hispanic,Some college or Associate degree,All,<35,22713.16,33193.3,13763.68
2007,Hispanic,Some college or Associate degree,All,>=75,,,
2007,Hispanic,Some college or Associate degree,All,All,203184,67139.6,34810.38
2007,Hispanic,Some college or Associate degree,Female,35-44,26046.07,64683.12,20367.78
2007,Hispanic,Some college or Associate degree,Female,45-54,,,
2007,Hispanic,Some college or Associate degree,Female,55-64,,,
2007,Hispanic,Some college or Associate degree,Female,<35,18554.43,37649.53,-2431.79
2007,Hispanic,Some college or Associate degree,Female,>=75,,,
2007,Hispanic,Some college or Associate degree,Female,All,26046.07,49746.75,20367.78
2007,Hispanic,Some college or Associate degree,Male,35-44,308355.79,97518.45,210837.35
2007,Hispanic,Some college or Associate degree,Male,45-54,234809.6,67139.6,66559.43
2007,Hispanic,Some college or Associate degree,Male,55-64,1305265.88,,983578.45
2007,Hispanic,Some college or Associate degree,Male,65-74,,,
2007,Hispanic,Some college or Associate degree,Male,<35,39575.21,32773.6,22305.8
2007,Hispanic,Some college or Associate degree,Male,All,233896.14,87359.25,62214.3
2007,Other,All,All,35-44,286914.08,171829.97,129242.8
2007,Other,All,All,45-54,244043,129736.57,74805.29
2007,Other,All,All,55-64,373077.18,19750.57,281569.08
2007,Other,All,All,65-74,366866.86,20984.98,336747.24
2007,Other,All,All,<35,41428.06,30243.06,16726.27
2007,Other,All,All,>=75,177631.7,,177631.7
2007,Other,All,All,All,161337.48,64436.24,75175.61
2007,Other,All,Female,35-44,29255.53,84334.94,9233.39
2007,Other,All,Female,45-54,37501.4,60486.12,13455.08
2007,Other,All,Female,55-64,11862.69,18516.16,1234.41
2007,Other,All,Female,65-74,64683.12,13948.84,63954.82
2007,Other,All,Female,<35,21009.67,16911.43,4320.44
2007,Other,All,Female,>=75,9998.73,,8764.32
2007,Other,All,Female,All,26231.23,17652.07,12455.2
2007,Other,All,Male,35-44,376865.59,185161.61,148499.61
2007,Other,All,Male,45-54,355263.4,148129.29,169521.62
2007,Other,All,Male,55-64,472285.54,28761.77,414490.43
2007,Other,All,Male,65-74,686455.79,75422.49,367730.95
2007,Other,All,Male,<35,91222.95,49376.43,26416.39
2007,Other,All,Male,>=75,703762.23,,654385.8
2007,Other,All,Male,All,261880.23,89618.22,135908.62
2007,Other,Bachelor's degree or higher,All,35-44,457842.93,220712.63,213923.38
2007,Other,Bachelor's degree or higher,All,45-54,779283.48,148129.29,537018.03
2007,Other,Bachelor's degree or higher,All,55-64,755089.03,191950.87,472581.8
2007,Other,Bachelor's degree or higher,All,65-74,1143804.96,106159.32,1014685.6
2007,Other,Bachelor's degree or higher,All,<35,216274.93,83939.93,105665.56
2007,Other,Bachelor's degree or higher,All,>=75,,,
2007,Other,Bachelor's degree or higher,All,All,458213.25,170348.68,266632.71
2007,Other,Bachelor's degree or higher,Female,35-44,,,
2007,Other,Bachelor's degree or higher,Female,45-54,458213.25,123441.07,290456.84
2007,Other,Bachelor's degree or higher,Female,55-64,,,
2007,Other,Bachelor's degree or higher,Female,65-74,707070.45,106159.32,635721.51
2007,Other,Bachelor's degree or higher,Female,<35,362916.75,153066.93,196271.3
2007,Other,Bachelor's degree or higher,Female,>=75,,,
2007,Other,Bachelor's degree or higher,Female,All,362916.75,123441.07,290456.84
2007,Other,Bachelor's degree or higher,Male,35-44,469446.39,199604.21,215293.57
2007,Other,Bachelor's degree or higher,Male,45-54,781690.58,192568.07,658249.51
2007,Other,Bachelor's degree or higher,Male,55-64,824462.91,191950.87,562953
2007,Other,Bachelor's degree or higher,Male,65-74,1210092.82,128872.48,1134670.32
2007,Other,Bachelor's degree or higher,Male,<35,174669.12,83939.93,79742.93
2007,Other,Bachelor's degree or higher,Male,>=75,,,
2007,Other,Bachelor's degree or higher,Male,All,469446.39,191950.87,266509.27
2007,Other,High school diploma,All,35-44,22157.67,23083.48,8949.48
2007,Other,High school diploma,All,45-54,158523.02,64806.56,33946.29
2007,Other,High school diploma,All,55-64,102949.85,17257.06,85297.78
2007,Other,High school diploma,All,65-74,136649.27,19750.57,103357.21
2007,Other,High school diploma,All,<35,91222.95,43204.37,22244.08
2007,Other,High school diploma,All,>=75,,,
2007,Other,High school diploma,All,All,91222.95,43204.37,30366.5
2007,Other,High school diploma,Female,35-44,,,
2007,Other,High school diploma,Female,45-54,,,
2007,Other,High school diploma,Female,55-64,102949.85,,85297.78
2007,Other,High school diploma,Female,65-74,61103.33,14812.93,60375.03
2007,Other,High school diploma,Female,<35,,,
2007,Other,High school diploma,Female,>=75,,,
2007,Other,High school diploma,Female,All,30057.9,8640.87,17405.19
2007,Other,High school diploma,Male,35-44,22157.67,177755.14,9875.29
2007,Other,High school diploma,Male,45-54,208491.97,136550.51,49845.5
2007,Other,High school diploma,Male,55-64,17652.07,13455.08,17652.07
2007,Other,High school diploma,Male,65-74,364151.16,,364151.16
2007,Other,High school diploma,Male,<35,91222.95,49376.43,26416.39
2007,Other,High school diploma,Male,All,131279.58,53079.66,33946.29
2007,Other,No high school diploma,All,35-44,114676.75,,75385.46
2007,Other,No high school diploma,All,45-54,11726.9,9134.64,4727.79
2007,Other,No high school diploma,All,55-64,365509.01,14812.93,365385.57
2007,Other,No high school diploma,All,65-74,1851.62,8640.87,617.21
2007,Other,No high school diploma,All,<35,23700.69,30243.06,6418.94
2007,Other,No high school diploma,All,>=75,123.44,,123.44
2007,Other,No high school diploma,All,All,20182.62,16047.34,6418.94
2007,Other,No high school diploma,Female,35-44,,,
2007,Other,No high school diploma,Female,45-54,3332.91,4814.2,2839.14
2007,Other,No high school diploma,Female,55-64,,,
2007,Other,No high school diploma,Female,65-74,,,
2007,Other,No high school diploma,Female,<35,,,1581.28
2007,Other,No high school diploma,Female,>=75,,,
2007,Other,No high school diploma,Female,All,2962.59,5061.08,61.72
2007,Other,No high school diploma,Male,35-44,,,
2007,Other,No high school diploma,Male,45-54,37896.41,74681.85,27255.79
2007,Other,No high school diploma,Male,55-64,381432.91,617.21,381309.47
2007,Other,No high school diploma,Male,65-74,,,
2007,Other,No high school diploma,Male,<35,21651.56,20984.98,6653.47
2007,Other,No high school diploma,Male,>=75,,,
2007,Other,No high school diploma,Male,All,112701.7,64559.68,53980.78
2007,Other,Some college or Associate degree,All,35-44,161337.48,144796.38,75175.61
2007,Other,Some college or Associate degree,All,45-54,384926.29,236266.21,148660.08
2007,Other,Some college or Associate degree,All,55-64,296357.32,12344.11,253794.84
2007,Other,Some college or Associate degree,All,65-74,398097.45,14072.28,384148.61
2007,Other,Some college or Associate degree,All,<35,21244.21,20330.74,5778.28
2007,Other,Some college or Associate degree,All,>=75,,,
2007,Other,Some college or Associate degree,All,All,98999.74,28761.77,46660.72
2007,Other,Some college or Associate degree,Female,35-44,93568.33,84334.94,9233.39
2007,Other,Some college or Associate degree,Female,45-54,165966.52,,13578.52
2007,Other,Some college or Associate degree,Female,55-64,2234.28,4320.44,259.23
2007,Other,Some college or Associate degree,Female,65-74,399949.07,,386000.23
2007,Other,Some college or Associate degree,Female,<35,17689.11,16787.99,555.48
2007,Other,Some college or Associate degree,Female,All,20984.98,14319.16,7208.96
2007,Other,Some college or Associate degree,Male,35-44,556126.71,149363.7,94629.92
2007,Other,Some college or Associate degree,Male,45-54,498763.65,239722.56,259041.09
2007,Other,Some college or Associate degree,Male,55-64,427883.78,13948.84,415539.68
2007,Other,Some college or Associate degree,Male,65-74,99123.18,83446.16,15677.02
2007,Other,Some college or Associate degree,Male,<35,33650.04,32465,10739.37
2007,Other,Some college or Associate degree,Male,>=75,,,
2007,Other,Some college or Associate degree,Male,All,259843.45,82705.52,93346.14
2007,White,All,All,35-44,342857.57,140438.91,150610.45
2007,White,All,All,45-54,447560.29,126403.66,284840.27
2007,White,All,All,55-64,500553.54,82705.52,383778.29
2007,White,All,All,65-74,425748.25,54314.07,353473.51
2007,White,All,All,<35,87272.84,61226.77,24231.48
2007,White,All,All,>=75,284469.95,16047.34,273792.3
2007,White,All,All,All,335760.95,94062.1,211726.12
2007,White,All,Female,35-44,155412.31,60794.73,65794.09
2007,White,All,Female,45-54,205035.62,101011.83,113516.41
2007,White,All,Female,55-64,237130.3,34810.38,156338.12
2007,White,All,Female,65-74,225551.52,37032.32,174051.91
2007,White,All,Female,<35,14196.96,28391.45,4937.64
2007,White,All,Female,>=75,260707.54,1975.06,257004.31
2007,White,All,Female,All,195530.66,40735.55,125107.53
2007,White,All,Male,35-44,361163.89,156770.16,173866.75
2007,White,All,Male,45-54,505491.19,138254,342425.53
2007,White,All,Male,55-64,648806.27,117269.02,506355.27
2007,White,All,Male,65-74,549683.09,62954.95,457842.93
2007,White,All,Male,<35,161707.8,79742.93,37587.81
