year,race,metric_type,metric,pct_holding
2016,Black,Debt,Other Debts,5.9
2016,Hispanic,Debt,Other Debts,4.7
2016,White,Debt,Other Debts,5.1
2016,Other,Debt,Other Debts,7.1
2016,All,Debt,Other Debts,5.4
2016,All,Asset,Total Assets,99.4
2016,Other,Asset,Total Assets,99.1
2016,Black,Asset,Total Assets,99.1
2016,Hispanic,Asset,Total Assets,98.1
2016,White,Asset,Total Assets,99.7
2016,All,Debt,Education Loans,22.3
2016,Black,Debt,Education Loans,30.7
2016,Other,Debt,Education Loans,26.1
2016,White,Debt,Education Loans,20.2
2016,Hispanic,Debt,Education Loans,19.3
2016,Black,Debt,Installment Loans,54.2
2016,Other,Debt,Installment Loans,53.8
2016,White,Debt,Installment Loans,49.4
2016,All,Debt,Installment Loans,50.2
2016,Hispanic,Debt,Installment Loans,46
2016,White,Asset,Directly Held Stocks,17.5
2016,All,Asset,Directly Held Stocks,13.9
2016,Black,Asset,Directly Held Stocks,4.7
2016,Other,Asset,Directly Held Stocks,14.2
2016,Hispanic,Asset,Directly Held Stocks,4.2
2016,Black,Asset,Pooled Investment Fund Assets,1.7
2016,Hispanic,Asset,Pooled Investment Fund Assets,1.7
2016,All,Asset,Pooled Investment Fund Assets,10
2016,White,Asset,Pooled Investment Fund Assets,13.3
2016,Other,Asset,Pooled Investment Fund Assets,9.7
2016,White,Asset,Quasi-Liquid Retirement Accounts,60.4
2016,Hispanic,Asset,Quasi-Liquid Retirement Accounts,29.7
2016,Other,Asset,Quasi-Liquid Retirement Accounts,48
2016,Black,Asset,Quasi-Liquid Retirement Accounts,33.6
2016,All,Asset,Quasi-Liquid Retirement Accounts,52.1
2016,White,Debt,Debt Secured by Primary Residence,46.4
2016,Black,Debt,Debt Secured by Primary Residence,31.9
2016,All,Debt,Debt Secured by Primary Residence,41.9
2016,Other,Debt,Debt Secured by Primary Residence,37.8
2016,Hispanic,Debt,Debt Secured by Primary Residence,31.5
2016,Hispanic,Asset,Cash Value of Whole Life Insurance,6.4
2016,All,Asset,Cash Value of Whole Life Insurance,19.4
2016,White,Asset,Cash Value of Whole Life Insurance,21.2
2016,Other,Asset,Cash Value of Whole Life Insurance,14.8
2016,Black,Asset,Cash Value of Whole Life Insurance,23.7
2016,Other,Debt,Credit Card Balances after Last Payment,44.1
2016,All,Debt,Credit Card Balances after Last Payment,43.9
2016,Hispanic,Debt,Credit Card Balances after Last Payment,49.6
2016,White,Debt,Credit Card Balances after Last Payment,42.1
2016,Black,Debt,Credit Card Balances after Last Payment,47.8
2016,All,Asset,Total Value of Household Stock Holdings,51.9
2016,Hispanic,Asset,Total Value of Household Stock Holdings,28.1
2016,White,Asset,Total Value of Household Stock Holdings,61
2016,Black,Asset,Total Value of Household Stock Holdings,31.4
2016,Other,Asset,Total Value of Household Stock Holdings,47.1
2019,All,Debt,Total Debt,76.6
2019,Hispanic,Debt,Total Debt,72.2
2019,White,Debt,Total Debt,77.7
2019,Other,Debt,Total Debt,77.6
2019,Black,Debt,Total Debt,74
2019,Other,Debt,Other Debts,7.8
2019,Black,Debt,Other Debts,5.4
2019,All,Debt,Other Debts,5.2
2019,White,Debt,Other Debts,4.9
2019,Hispanic,Debt,Other Debts,4.5
2019,Hispanic,Asset,Total Assets,99
2019,Other,Asset,Total Assets,99.7
2019,White,Asset,Total Assets,99.8
2019,Black,Asset,Total Assets,98.9
2019,All,Asset,Total Assets,99.6
2019,White,Debt,Education Loans,20
2019,All,Debt,Education Loans,21.4
2019,Black,Debt,Education Loans,30.2
2019,Hispanic,Debt,Education Loans,14.3
2019,Other,Debt,Education Loans,24.3
2019,All,Debt,Installment Loans,51.5
2019,Black,Debt,Installment Loans,53.7
2019,White,Debt,Installment Loans,50.8
2019,Hispanic,Debt,Installment Loans,52.4
2019,Other,Debt,Installment Loans,51.7
2019,Hispanic,Asset,Directly Held Stocks,4.3
2019,Black,Asset,Directly Held Stocks,6.7
2019,White,Asset,Directly Held Stocks,18.6
2019,All,Asset,Directly Held Stocks,15.2
2019,Other,Asset,Directly Held Stocks,15.6
2019,Black,Asset,Pooled Investment Fund Assets,1.8
2019,White,Asset,Pooled Investment Fund Assets,11.9
2019,Other,Asset,Pooled Investment Fund Assets,8.5
2019,Hispanic,Asset,Pooled Investment Fund Assets,1
2019,All,Asset,Pooled Investment Fund Assets,9
2019,Other,Asset,Quasi-Liquid Retirement Accounts,52.7
2019,Hispanic,Asset,Quasi-Liquid Retirement Accounts,25.5
2019,Black,Asset,Quasi-Liquid Retirement Accounts,34.9
2019,White,Asset,Quasi-Liquid Retirement Accounts,57.2
2019,All,Asset,Quasi-Liquid Retirement Accounts,50.5
2019,Other,Debt,Debt Secured by Primary Residence,38.1
2019,Hispanic,Debt,Debt Secured by Primary Residence,32.3
2019,White,Debt,Debt Secured by Primary Residence,47.4
2019,All,Debt,Debt Secured by Primary Residence,42.1
2019,Black,Debt,Debt Secured by Primary Residence,27.7
2019,White,Asset,Cash Value of Whole Life Insurance,20.8
2019,Hispanic,Asset,Cash Value of Whole Life Insurance,5.8
2019,Other,Asset,Cash Value of Whole Life Insurance,16.3
2019,All,Asset,Cash Value of Whole Life Insurance,19
2019,Black,Asset,Cash Value of Whole Life Insurance,21.5
2019,Black,Debt,Credit Card Balances after Last Payment,47.7
2019,Hispanic,Debt,Credit Card Balances after Last Payment,49.9
2019,All,Debt,Credit Card Balances after Last Payment,45.4
2019,White,Debt,Credit Card Balances after Last Payment,44.5
2019,Other,Debt,Credit Card Balances after Last Payment,43.7
2019,All,Asset,Total Value of Household Stock Holdings,52.6
2019,Other,Asset,Total Value of Household Stock Holdings,53.8
2019,White,Asset,Total Value of Household Stock Holdings,60.8
2019,Hispanic,Asset,Total Value of Household Stock Holdings,24.2
2019,Black,Asset,Total Value of Household Stock Holdings,33.5
